# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-04-11

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	58065	50.1	4.8	199.881365267426	0.182	0.31	0.15	1.487	0.178	0.192	0.666	0.643	0.334	0.357	30
2	58066	50.1	4.9	199.9668419421	0.178	0.32	0.156	1.49	0.19	0.207	0.68	0.659	0.32	0.341	30
3	58067	50.1	5	199.949000898166	0.171	0.321	0.159	1.503	0.188	0.206	0.676	0.656	0.324	0.343	30
4	58068	50.1	5.1	199.954069845653	0.171	0.321	0.159	1.502	0.187	0.204	0.668	0.649	0.332	0.351	30
5	58069	50.1	5.2	199.832550174753	0.181	0.321	0.159	1.491	0.19	0.206	0.664	0.643	0.336	0.357	30
6	58070	50.1	5.3	199.638562694371	0.188	0.321	0.15	1.469	0.193	0.208	0.664	0.645	0.335	0.355	30
7	58071	50.1	5.4	198.340377782822	0.201	0.319	0.14	1.429	0.181	0.192	0.637	0.614	0.363	0.386	30
8	58072	50.1	5.5	198.665338313552	0.203	0.32	0.143	1.447	0.175	0.187	0.637	0.613	0.362	0.386	30
9	58073	50.1	5.6	199.692697637728	0.2	0.32	0.146	1.465	0.184	0.196	0.651	0.632	0.349	0.368	30
10	58074	50.1	5.7	199.382515995547	0.198	0.321	0.146	1.453	0.189	0.202	0.652	0.635	0.348	0.364	30
11	58075	50.1	5.8	198.791914921243	0.195	0.322	0.148	1.45	0.187	0.201	0.656	0.64	0.344	0.36	30
12	58076	50.1	5.9	199.820713793588	0.194	0.319	0.15	1.465	0.192	0.206	0.658	0.645	0.342	0.355	30
13	58077	50.1	6	199.892770467251	0.203	0.316	0.149	1.474	0.192	0.205	0.65	0.635	0.35	0.365	30
14	58078	50.1	6.1	199.953016294199	0.213	0.319	0.151	1.475	0.195	0.21	0.649	0.634	0.35	0.366	30
15	58079	50.1	6.2	199.897953374477	0.216	0.327	0.162	1.47	0.214	0.235	0.661	0.647	0.339	0.353	30
16	58080	50.1	6.3	199.920472739164	0.214	0.328	0.163	1.471	0.217	0.239	0.663	0.649	0.337	0.351	30
17	58081	50.1	6.4	199.828399071263	0.216	0.325	0.161	1.478	0.21	0.231	0.663	0.648	0.337	0.352	30
18	58082	50.1	6.5	199.452551162748	0.215	0.318	0.152	1.475	0.203	0.219	0.66	0.642	0.34	0.358	30
19	58083	50.1	6.6	198.472448443914	0.223	0.314	0.143	1.452	0.199	0.212	0.651	0.628	0.348	0.372	30
20	58084	50.1	6.7	198.344738505587	0.221	0.311	0.138	1.449	0.201	0.214	0.651	0.625	0.349	0.375	30
21	58085	50.1	6.8	199.581144198647	0.214	0.321	0.157	1.484	0.207	0.224	0.666	0.644	0.333	0.356	30
22	58086	50.1	6.9	199.973992433023	0.209	0.32	0.165	1.503	0.219	0.239	0.685	0.667	0.315	0.333	30
23	58087	50.1	7	199.991607989749	0.211	0.326	0.173	1.506	0.224	0.247	0.691	0.673	0.309	0.327	30
24	58088	50.1	7.1	199.990394768302	0.208	0.322	0.17	1.51	0.215	0.236	0.677	0.661	0.322	0.339	30
25	58089	50.1	7.2	199.993542990013	0.201	0.316	0.164	1.516	0.209	0.228	0.67	0.653	0.33	0.347	30
26	58090	50.1	7.3	199.997268549859	0.198	0.319	0.167	1.523	0.211	0.231	0.685	0.668	0.315	0.331	30
27	58091	50.1	7.4	199.995330757554	0.199	0.319	0.164	1.524	0.209	0.229	0.705	0.69	0.295	0.31	30
28	58092	50.1	7.5	199.991976723222	0.201	0.318	0.163	1.521	0.205	0.224	0.701	0.685	0.299	0.315	30
29	58093	50.1	7.6	199.970725558243	0.205	0.315	0.158	1.507	0.198	0.216	0.672	0.651	0.328	0.349	30
30	58094	50.1	7.7	199.97386291999	0.198	0.312	0.159	1.509	0.201	0.218	0.668	0.65	0.332	0.35	30
31	58095	50.1	7.8	199.991340428495	0.197	0.308	0.158	1.517	0.201	0.217	0.665	0.646	0.335	0.354	30
32	58096	50.1	7.9	199.990431014799	0.209	0.307	0.148	1.494	0.195	0.208	0.648	0.621	0.352	0.379	30
33	58097	50.1	8	199.738239186573	0.216	0.308	0.148	1.473	0.189	0.203	0.637	0.61	0.362	0.39	30
34	58098	50.1	8.1	199.823842301595	0.198	0.307	0.147	1.487	0.182	0.196	0.628	0.604	0.371	0.395	30
